  100.0000;  100.0000;  100.0000;  100.0000;  100.0000;  100.0000;  100.0000;  100.0000;  100.0000;  100.0000;  100.0000;  100.0000;  100.0000;  100.0000;  100.0000;  100.0000;  100.0000;  100.0000;  100.0000;  100.0000;  100.0000;  100.0000;  100.0000;  100.0000;  100.0000;  100.0000;  100.0000;  100.0000;  100.0000;  100.0000;  100.0000;  100.0000;  100.0000;  100.0000;  100.0000;  100.0000;  100.0000;  100.0000;  100.0000;  100.0000;  100.0000;  100.0000;  100.0000;  100.0000;  100.0000;  100.0000;  100.0000;  100.0000;  100.0000;  100.0000;  100.0000;  100.0000;  100.0000;  100.0000;  100.0000;  100.0000;  100.0000;  100.0000;  100.0000;  100.0000;  100.0000;  100.0000;  100.0000;  100.0000;  100.0000;  100.0000;  100.0000;  100.0000;  100.0000;  100.0000;  100.0000;  100.0000;  100.0000;  100.0000;  100.0000
   99.9718;   99.9718;   99.9718;   99.9718;   99.9718;   99.9718;   99.9718;   99.9718;   99.9718;   99.9718;   99.9718;   99.9718;   99.9718;   99.9718;   99.9718;   99.9718;   99.9718;   99.9718;   99.9718;   99.9718;   99.9718;   99.9718;   99.9718;   99.9718;   99.9718;   99.9718;   99.9718;   99.9718;   99.9718;   99.9718;   99.9718;   99.9718;   99.9718;   99.9718;   99.9718;   99.9718;   99.9718;   99.9718;   99.9718;   99.9718;   99.9718;   99.9718;   99.9718;   99.9718;   99.9718;   99.9718;   99.9718;   99.9718;   99.9718;   99.9718;   99.9718;   99.9718;   99.9718;   99.9718;   99.9718;   99.9718;   99.9718;   99.9718;   99.9718;   99.9718;   99.9718;   99.9718;   99.9718;   99.9718;   99.9718;   99.9718;   99.9718;   99.9718;   99.9718;   99.9718;   99.9718;   99.9718;   99.9718;   99.9718;  100.0000
   99.9436;   99.9436;   99.9436;   99.9436;   99.9436;   99.9436;   99.9436;   99.9436;   99.9436;   99.9436;   99.9436;   99.9436;   99.9436;   99.9436;   99.9436;   99.9436;   99.9436;   99.9436;   99.9436;   99.9436;   99.9436;   99.9436;   99.9436;   99.9436;   99.9436;   99.9436;   99.9436;   99.9436;   99.9436;   99.9436;   99.9436;   99.9436;   99.9436;   99.9436;   99.9436;   99.9436;   99.9436;   99.9436;   99.9436;   99.9436;   99.9436;   99.9436;   99.9436;   99.9436;   99.9436;   99.9436;   99.9436;   99.9436;   99.9436;   99.9436;   99.9436;   99.9436;   99.9436;   99.9436;   99.9436;   99.9436;   99.9436;   99.9436;   99.9436;   99.9436;   99.9436;   99.9436;   99.9436;   99.9436;   99.9436;   99.9436;   99.9436;   99.9436;   99.9436;   99.9436;   99.9436;   99.9436;   99.9436;   99.9436;  100.0000
   99.9154;   99.9154;   99.9154;   99.9154;   99.9154;   99.9154;   99.9154;   99.9154;   99.9154;   99.9154;   99.9154;   99.9154;   99.9154;   99.9154;   99.9154;   99.9154;   99.9154;   99.9154;   99.9154;   99.9154;   99.9154;   99.9154;   99.9154;   99.9154;   99.9154;   99.9154;   99.9154;   99.9154;   99.9154;   99.9154;   99.9154;   99.9154;   99.9154;   99.9154;   99.9154;   99.9154;   99.9154;   99.9154;   99.9154;   99.9154;   99.9154;   99.9154;   99.9154;   99.9154;   99.9154;   99.9154;   99.9154;   99.9154;   99.9154;   99.9154;   99.9154;   99.9154;   99.9154;   99.9154;   99.9154;   99.9154;   99.9154;   99.9154;   99.9154;   99.9154;   99.9154;   99.9154;   99.9154;   99.9154;   99.9154;   99.9154;   99.9154;   99.9154;   99.9154;   99.9154;   99.9154;   99.9154;   99.9154;   99.9154;  100.0000
   99.8873;   99.8873;   99.8873;   99.8873;   99.8873;   99.8873;   99.8873;   99.8873;   99.8873;   99.8873;   99.8873;   99.8873;   99.8873;   99.8873;   99.8873;   99.8873;   99.8873;   99.8873;   99.8873;   99.8873;   99.8873;   99.8873;   99.8873;   99.8873;   99.8873;   99.8873;   99.8873;   99.8873;   99.8873;   99.8873;   99.8873;   99.8873;   99.8873;   99.8873;   99.8873;   99.8873;   99.8873;   99.8873;   99.8873;   99.8873;   99.8873;   99.8873;   99.8873;   99.8873;   99.8873;   99.8873;   99.8873;   99.8873;   99.8873;   99.8873;   99.8873;   99.8873;   99.8873;   99.8873;   99.8873;   99.8873;   99.8873;   99.8873;   99.8873;   99.8873;   99.8873;   99.8873;   99.8873;   99.8873;   99.8873;   99.8873;   99.8873;   99.8873;   99.8873;   99.8873;   99.8873;   99.8873;   99.8873;   99.8873;  100.0000
   99.8591;   99.8591;   99.8591;   99.8591;   99.8591;   99.8591;   99.8591;   99.8591;   99.8591;   99.8591;   99.8591;   99.8591;   99.8591;   99.8591;   99.8591;   99.8591;   99.8591;   99.8591;   99.8591;   99.8591;   99.8591;   99.8591;   99.8591;   99.8591;   99.8591;   99.8591;   99.8591;   99.8591;   99.8591;   99.8591;   99.8591;   99.8591;   99.8591;   99.8591;   99.8591;   99.8591;   99.8591;   99.8591;   99.8591;   99.8591;   99.8591;   99.8591;   99.8591;   99.8591;   99.8591;   99.8591;   99.8591;   99.8591;   99.8591;   99.8591;   99.8591;   99.8591;   99.8591;   99.8591;   99.8591;   99.8591;   99.8591;   99.8591;   99.8591;   99.8591;   99.8591;   99.8591;   99.8591;   99.8591;   99.8591;   99.8591;   99.8591;   99.8591;   99.8591;   99.8591;   99.8591;   99.8591;   99.8591;   99.8591;  100.0000
   99.8310;   99.8310;   99.8310;   99.8310;   99.8310;   99.8310;   99.8310;   99.8310;   99.8310;   99.8310;   99.8310;   99.8310;   99.8310;   99.8310;   99.8310;   99.8310;   99.8310;   99.8310;   99.8310;   99.8310;   99.8310;   99.8310;   99.8310;   99.8310;   99.8310;   99.8310;   99.8310;   99.8310;   99.8310;   99.8310;   99.8310;   99.8310;   99.8310;   99.8310;   99.8310;   99.8310;   99.8310;   99.8310;   99.8310;   99.8310;   99.8310;   99.8310;   99.8310;   99.8310;   99.8310;   99.8310;   99.8310;   99.8310;   99.8310;   99.8310;   99.8310;   99.8310;   99.8310;   99.8310;   99.8310;   99.8310;   99.8310;   99.8310;   99.8310;   99.8310;   99.8310;   99.8310;   99.8310;   99.8310;   99.8310;   99.8310;   99.8310;   99.8310;   99.8310;   99.8310;   99.8310;   99.8310;   99.8310;   99.8310;  100.0000
   99.8029;   99.8029;   99.8029;   99.8029;   99.8029;   99.8029;   99.8029;   99.8029;   99.8029;   99.8029;   99.8029;   99.8029;   99.8029;   99.8029;   99.8029;   99.8029;   99.8029;   99.8029;   99.8029;   99.8029;   99.8029;   99.8029;   99.8029;   99.8029;   99.8029;   99.8029;   99.8029;   99.8029;   99.8029;   99.8029;   99.8029;   99.8029;   99.8029;   99.8029;   99.8029;   99.8029;   99.8029;   99.8029;   99.8029;   99.8029;   99.8029;   99.8029;   99.8029;   99.8029;   99.8029;   99.8029;   99.8029;   99.8029;   99.8029;   99.8029;   99.8029;   99.8029;   99.8029;   99.8029;   99.8029;   99.8029;   99.8029;   99.8029;   99.8029;   99.8029;   99.8029;   99.8029;   99.8029;   99.8029;   99.8029;   99.8029;   99.8029;   99.8029;   99.8029;   99.8029;   99.8029;   99.8029;   99.8029;   99.8029;  100.0000
   99.7748;   99.7748;   99.7748;   99.7748;   99.7748;   99.7748;   99.7748;   99.7748;   99.7748;   99.7748;   99.7748;   99.7748;   99.7748;   99.7748;   99.7748;   99.7748;   99.7748;   99.7748;   99.7748;   99.7748;   99.7748;   99.7748;   99.7748;   99.7748;   99.7748;   99.7748;   99.7748;   99.7748;   99.7748;   99.7748;   99.7748;   99.7748;   99.7748;   99.7748;   99.7748;   99.7748;   99.7748;   99.7748;   99.7748;   99.7748;   99.7748;   99.7748;   99.7748;   99.7748;   99.7748;   99.7748;   99.7748;   99.7748;   99.7748;   99.7748;   99.7748;   99.7748;   99.7748;   99.7748;   99.7748;   99.7748;   99.7748;   99.7748;   99.7748;   99.7748;   99.7748;   99.7748;   99.7748;   99.7748;   99.7748;   99.7748;   99.7748;   99.7748;   99.7748;   99.7748;   99.7748;   99.7748;   99.7748;   99.7748;  100.0000
   99.7467;   99.7467;   99.7467;   99.7467;   99.7467;   99.7467;   99.7467;   99.7467;   99.7467;   99.7467;   99.7467;   99.7467;   99.7467;   99.7467;   99.7467;   99.7467;   99.7467;   99.7467;   99.7467;   99.7467;   99.7467;   99.7467;   99.7467;   99.7467;   99.7467;   99.7467;   99.7467;   99.7467;   99.7467;   99.7467;   99.7467;   99.7467;   99.7467;   99.7467;   99.7467;   99.7467;   99.7467;   99.7467;   99.7467;   99.7467;   99.7467;   99.7467;   99.7467;   99.7467;   99.7467;   99.7467;   99.7467;   99.7467;   99.7467;   99.7467;   99.7467;   99.7467;   99.7467;   99.7467;   99.7467;   99.7467;   99.7467;   99.7467;   99.7467;   99.7467;   99.7467;   99.7467;   99.7467;   99.7467;   99.7467;   99.7467;   99.7467;   99.7467;   99.7467;   99.7467;   99.7467;   99.7467;   99.7467;   99.7467;  100.0000
